,이름,지번주소,위도,경도
273,금강태권도,경기도 부천시 중동 1027-2번지 예일빌딩 1층,37.5109278,126.7617999
274,화랑태권도,경기도 부천시 고강동 459-2번지 2층,37.5253414,126.8151603
275,즐거운태권도,경기도 부천시 괴안동 204-5 삼익세라믹아파트 ,37.47515138,126.8024424
276,베스트태권도장,경기도 부천시 범박동 152-2번지 상가동 301호,37.47273878,126.8075539
277,도원태권도체육관,경기도 부천시 심곡본동 630-25번지 ,37.4770411,126.7751926
278,예스복싱클럽,경기도 부천시 중동 1079-1번지 뉴월드타워 701~702호,37.5032914,126.7775217
279,맑음 태권도,경기도 부천시 상동 557-1번지 5층호,37.50095451,126.7534068
280,고려태권도세상,"경기도 부천시 상동 533-3번지 504,505호",37.5076516,126.7505005
281,제일호키태권도,경기도 부천시 괴안동 166-4번지 2층,37.4839882,126.8166319
282,연세대꿈나무태권도장,경기도 부천시 심곡본동 703-9번지 아람빌딩 ,37.4774618,126.7784924
283,중동태권도,"경기도 부천시 중동 1208번지 계남아카데미빌딩 502,503호",37.4949262,126.7707733
284,슈퍼아이태권도장,경기도 부천시 중동 1103번지 ,37.5000069,126.7796576
285,노블레스 태권도,경기도 부천시 송내동 504번지 2층,37.4861762,126.7655541
286,용인대 전진체육관,경기도 부천시 소사본동 195-1번지 3층 1호,37.4749834,126.7979331
287,용인대 국가대표 태권도,"경기도 부천시 도당동 63-9번지 2,3층",37.5195612,126.7909903
288,부안 태권도장,경기도 부천시 괴안동 100-48 ,37.4800257,126.8113208
289,연세태권도체육관,경기도 부천시 소사본동 174-10번지,37.4750177,126.7918509
290,C.M. 복싱,경기도 부천시 오정동 207-8번지 5층,37.5273941,126.782936
291,SL태권도장,경기도 부천시 도당동 105-4번지 2층,37.5185906,126.7923844
292,봉황태권도장,경기도 부천시 소사본동 159-48번지,37.475234,126.7969941
293,경희대충무태권도,경기도 부천시 상동 318-4번지 3층,37.4884864,126.7629349
294,한체대리틀태권도,경기도 부천시 송내동 370번지 외 1필지,37.4861822,126.7640729
295,경희대힘찬태권도장,경기도 부천시 도당동 42-4번지 2층호,37.5189486,126.7860715
296,행복한 동행 삼성태권도장,경기도 부천시 오정동 192-8 ,37.52958377,126.7873359
297,경희대현대태권도,"경기도 부천시 범박동 154-2번지 현대홈타운1단지상가 301,302",37.4745436,126.8096576
298,경희대석사 삼손참태권도장,경기도 부천시 원미동 122-4번지 4층 ,37.49278803,126.7883295
299,고려태권도,경기도 부천시 약대동 91-3번지,37.5147274,126.7694904
300,VICTOR MMA 아카데미,경기도 부천시 상동 545-8번지,37.5046793,126.7509402
301,백인태권도체육관,경기도 부천시 중동 1031-3번지,37.5051998,126.7629153
302,용인대 대동 태권도,경기도 부천시 심곡동 92-13번지 2층,37.4955715,126.7831085
303,홍익태권도장,경기도 부천시 괴안동 70-13번지,37.4792328,126.8066269
304,경희대 전진 태권도장,경기도 부천시 소사본동 194-18번지,37.4733798,126.7980505
305,유성체육관,경기도 부천시 상동 536-4번지 506반,37.507094,126.7552186
306,청림태권도,경기도 부천시 작동 32-11번지,37.5187285,126.8153805
307,금강태권도체육관,경기도 부천시 고강동 411-3번지 2층,37.5274278,126.824262
308,고려라온태권도장,경기도 부천시 중동 1172번지 301호,37.49854103,126.7582775
309,중동체육관,경기도 부천시 중동 1129번지 이스트타원 5층,37.4989267,126.7754427
310,금메달태권도체육관,경기도 부천시 괴안동 119,37.4808738,126.8128521
311,경희 체대입시 & 유소년 스포츠클럽,경기도 부천시 송내동 450-1번지 현대종합상가 401호,37.4793734,126.765406
312,용인대유도체육관,경기도 부천시 중동 711-12번지 현진빌딩,37.4954831,126.7653776
313,해병대태권도체육관,경기도 부천시 범박동 155-2번지 리치모아상가 512호,37.4711289,126.8097116
314,위브꿈나무태권도,경기도 부천시 약대동 175번지 비동 2층,37.5107603,126.7726923
315,화랑태권스쿨,경기도 부천시 내동 326번지,37.5202281,126.7861356
316,원광체육관,경기도 부천시 상동 239번지,37.4910922,126.7638537
317,새나라태권도장,경기도 부천시 원종동 265-3번지 3층,37.5275344,126.8063194
318,용인대S&S태권도장,경기도 부천시 중동 1027-2번지 왕성빌딩 101호,37.5109278,126.7617999
319,대명체육관,경기도 부천시 원종동 138-1번지,37.5264787,126.8000775
320,키즈펀태권도,경기도 부천시 송내동 369번지 301호,37.4853486,126.761769
321,태권도필승도장,경기도 부천시 원종동 372-2번지 ,37.51895554,126.8054031
322,정우태권도체육관,경기도 부천시 고강동 369번지 ,37.5279842,126.8170203
323,경희대대웅태권도체육관,"경기도 부천시 심곡동 188-4번지 2층,3층호",37.48812023,126.7879698
324,MTA태권도,경기도 부천시 원미동 147-2번지,37.4916499,126.7867723
325,명성태권도체육관,경기도 부천시 괴안동 124-83번지 명성빌딩 301호,37.48257,126.8143516
326,나토얀 체육관,경기도 부천시 원종동 134-7번지 수정상가 3층동 3호호,37.5267553,126.8037421
327,중앙태권도,경기도 부천시 중동 1152-3번지 메트로팰리스 비동 202호,37.501286,126.7701882
328,경희대정훈태권도,경기도 부천시 오정동 543 신오빌딩 401호,37.52955188,126.7865326
329,국민엘리트체육관,경기도 부천시 심곡동 131-37번지,37.4855992,126.7889606
330,MTA 태권도장,경기도 부천시 옥길동 726-2번지,37.4676259,126.8222905
331,상동용인대태권도체육관,경기도 부천시 상동 546-2번지 502호,37.5039828,126.7496307
332,중앙태권도체육관,경기도 부천시 중동 1099-2번지 2층,37.4950372,126.7816626
333,비룡체육관,경기도 부천시 상동 535-3번지 502반,37.5069019,126.7538281
334,체대전진태권도,경기도 부천시 중동 1058-1번지 306반,37.503895,126.7727699
335,예전태권도,경기도 부천시 고강동 325-9번지 ,37.526818,126.8261866
336,경희대 효(孝)태권도장,경기도 부천시 송내동 373번지 대우프라자 ,37.4842633,126.7641921
337,한미체육관,경기도 부천시 역곡동 110-14번지,37.4869553,126.8127124
338,용인대 일출 태권도장,경기도 부천시 원종동 141-17번지 3층,37.5247565,126.7993242
339,신인 권투체육관,경기도 부천시 중동 1163-3번지 301호,37.5037023,126.7620267
340,경희대국제체육관,경기도 부천시 춘의동 491번지 우민늘사랑아파트 106동 201호,37.5050703,126.7843812
341,고려튼튼태권도체육관,경기도 부천시 원종동 244-7번지,37.528896,126.806938
342,한국체육관(태권도),경기도 부천시 괴안동 72-1번지,37.4778733,126.8072183
343,자올태권도,경기도 부천시 중동 1295-2번지 2층호,37.5081207,126.7775185
344,고강 신흥태권도장,경기도 부천시 고강동 411-3번지 남평빌딩 ,37.52742783,126.824262
345,중동 힘찬 태권도장,경기도 부천시 중동 1289번지 아이파크상가 214호,37.4898473,126.7675778
346,삼손태권도,경기도 부천시 심곡본동 688-2 ,37.47976671,126.7814529
347,한국체대리틀태권도,경기도 부천시 송내동 504번지,37.4861762,126.7655541
348,우리태권도장,경기도 부천시 상동 523-8번지 402반,37.5125933,126.7524971
349,금메달 태권도,경기도 부천시 역곡동 70-2번지,37.4882899,126.8078809
350,부천정도태권도,경기도 부천시 송내동 453-29번지,37.4793437,126.7640834
351,거북진호,경기도 부천시 춘의동 131-26번지,37.5056492,126.7807718
352,파인태권도장,경기도 부천시 원종동 244-7번지 2층호,37.528896,126.8069381
353,부천신중동유도관,경기도 부천시 약대동 169-86번지,37.5105633,126.7732698
354,독수리체육관,경기도 부천시 원종동 262-2번지 3층,37.5289289,126.8050713
355,박사경희대태권도교육관,경기도 부천시 상동 536-6번지 501반 ,37.50725723,126.7556931
356,경희대 펀 태권도,경기도 부천시 송내동 368번지 부천스포츠센터 ,37.4857109,126.7627176
357,부곡체육관,경기도 부천시 중동 1203-7번지 ,37.4929829,126.7722154
358,코리아체육관,경기도 부천시 원미동 157-16번지 4층호,37.4945358,126.7933
359,탑 태권도장,경기도 부천시 괴안동 119-9번지,37.4812364,126.8142418
360,코리아태권도,경기도 부천시 괴안동 40-5번지,37.4800423,126.8057655
361,상지올림픽체육관,경기도 부천시 중동 735-9번지,37.4940389,126.7641044
362,한빛체육관,경기도 부천시 원종동 209-4번지,37.5251212,126.8018233
363,GMTA 태권도체육관,경기도 부천시 범박동 155-1번지 현대홈타운3단지상가 304호,37.4725446,126.8103749
364,하나체육관,경기도 부천시 심곡동 345-10번지,37.4887873,126.7738
365,도당체육관,경기도 부천시 도당동 108번지 3층호,37.5199224,126.7914304
366,베스트체대입시,경기도 부천시 범박동 44-16번지,37.4696778,126.8093762
367,우성태권도체육관,경기도 부천시 원종동 292-18번지,37.5251441,126.8101606
368,용인대 석사 한별태권도장,경기도 부천시 역곡동 108-5 2층 ,37.48867987,126.8130739
369,우리아이 태권도,경기도 부천시 고강동 377-30번지 3층,37.5267343,126.8185733
370,중흥다윗태권도장,경기도 부천시 중동 1052-2번지 402호,37.5068398,126.772071
371,SP복싱무브먼트,경기도 부천시 중동 1158-6번지 씨티원프라자 302호,37.5034009,126.7644365
372,정글인유아스포츠단,경기도 부천시 중동 1031-3번지 6층호,37.5051998,126.7629153
373,대한검도검무관,경기도 부천시 삼정동 294-11번지,37.5163407,126.7697456
374,참 태권도장,경기도 부천시 상동 559-3번지 세종프라자 401호 ,37.50031897,126.755388
375,한양태권도체육관,경기도 부천시 송내동 609-10번지 ,37.4796265,126.7703571
376,인하코리아태권도장,경기도 부천시 오정동 582-3번지 2층 ,37.5255881,126.7856563
377,부일체육관,경기도 부천시 원미동 1-3번지,37.4998427,126.7932965
378,기검체육관,경기도 부천시 소사본동 161-20번지,37.4752667,126.7951061
379,왕호태권도장,경기도 부천시 상동 397번지 211반 반달마을호,37.49267615,126.7499968
380,베스트 체대입시,경기도 부천시 소사본동 75-3번지,37.4809066,126.7948757
381,세종태권도체육관,경기도 부천시 심곡동 427-24번지,37.4905928,126.7803528
382,부천 라온태권도,경기도 부천시 삼정동 318-10번지 2층호,37.5144555,126.7732691
383,화랑태권도장,경기도 부천시 원종동 211-4번지,37.5244012,126.8023004
384,삼손태권도,경기도 부천시 심곡본동 678-13 ,37.48133476,126.781404
385,경희대대한태권도장,경기도 부천시 원미동 151-1번지 207호,37.49517685,126.794022
386,행복한 동행 정진태권도장,경기도 부천시 고강동 377-30번지,37.5267343,126.8185733
387,경희태권도,경기도 부천시 중동 1134-2번지 404호,37.49962,126.7752484
388,경희대 최강 태권도장,경기도 부천시 상동 393 201~202 ,37.49630375,126.7533974
389,경희대석사 슈퍼키즈 태권도장,경기도 부천시 옥길동 739-1번지 제이드카운티 2단지,37.4649574,126.8272366
390,부천태권도체육관,경기도 부천시 중동 1028-1번지 4층,37.5084525,126.7629615
391,피에스(PS)복싱클럽,경기도 부천시 상동 329-5번지 ,37.48706557,126.7642397
392,웅무용인대태권도장,경기도 부천시 약대동 165-2번지,37.5125343,126.7721892
393,용인대신학유도관,경기도 부천시 원종동 138-32번지 3층,37.52648,126.8008241
394,경희대 참 태권도장,경기도 부천시 역곡동 202-1번지 대림(아) 상가 201호,37.4897594,126.8139943
395,153태권도장,경기도 부천시 심곡동 181-12번지,37.4896212,126.785964
396,아이언복싱클럽,경기도 부천시 원종동 222번지,37.5237904,126.8033541
397,경희체육관,경기도 부천시 오정동 612번지,37.5238145,126.7863854
398,장무진머슬짐,경기도 부천시 원종동 212-23번지,37.5238698,126.802381
399,고수회하람태권도장,경기도 부천시 중동 1145-2번지 네이버시티빌딩 504호,37.5011176,126.7715797
400,평화태권도,경기도 부천시 중동 1289번지 중동팰리스카운티 아이파크상가 508호,37.4898473,126.7675778
401,건무관(태권도),경기도 부천시 송내동 370번지,37.4861822,126.7640729
402,금메달체육도장,경기도 부천시 심곡본동 566-1번지 2층,37.4769266,126.7813542
403,진영체육관,경기도 부천시 소사본동 190-5번지,37.4721511,126.7910225
404,팀태권도&스포츠,경기도 부천시 삼정동 294-1 401호 ,37.5172007,126.7698575
405,건우태권도체육관,경기도 부천시 고강동 307번지 2층,37.5255898,126.8127388
406,부천유도체육관,경기도 부천시 괴안동 109-3 ,37.48326281,126.8099904
407,경희대석사 샛별태권도,경기도 부천시 오정동 200-1번지 썬프라자 302호,37.5295068,126.7852942
408,대망태권도체육관,경기도 부천시 원종동 265-3번지,37.5275344,126.8063194
409,용인대 고강 유도 체육관,경기도 부천시 고강동 348-4번지,37.527425,126.8166597
410,선인체육관,경기도 부천시 원종동 366-2번지,37.5196159,126.8070189
411,백호태권도,경기도 부천시 상동 536-213번지 월드컵타운 503호,37.5071741,126.7547433
412,원미금강태권도,"경기도 부천시 원미동 114-1번지 풍림@단지내 상가2층 204,205호",37.4913971,126.7914656
413,연세 엘리트 태권스쿨,경기도 부천시 심곡동 37-37번지 2층,37.497592,126.7843804
414,JS 복싱휘트니스클럽,경기도 부천시 심곡동 168-5번지,37.4862648,126.783441
415,원미태권도체육관,경기도 부천시 원미동 173-5번지,37.4913202,126.7888199
416,용인대신성태권도장,경기도 부천시 심곡본동 649번지 4층,37.4802652,126.779185
417,경희대태권도,경기도 부천시 중동 1182 상가 301~2호,37.49791898,126.7710069
418,중동정도태권도장,경기도 부천시 중동 1173-1번지 보람마을 동남아파트 상가동 301~2호,37.4974288,126.7607124
419,경희대 최강태권도,경기도 부천시 중동 1027-2번지 101호,37.5109278,126.7617999
420,용인대석천태권도,경기도 부천시 상동 523-3번지 외 2필지 403호 ,37.51272662,126.7516032
421,꿈나무태권도장,경기도 부천시 범박동 152-2번지 현대홈타운제상가동3층301호,37.4712086,126.8088748
422,김진호복싱,경기도 부천시 중동 1162-9번지 새롬프라자,37.502926,126.7612714
423,라온태권도,경기도 부천시 약대동 165-2번지 2층,37.5125343,126.7721892
424,한양대유신태권도체육관,경기도 부천시 도당동 116-14번지 3층,37.5202321,126.7933186
425,한울효 태권도장,경기도 부천시 원종동 141-4 ,37.52418241,126.7989984
426,제1체육관,경기도 부천시 상동 408-3번지,37.489679,126.7514995
427,한가람태권도장,경기도 부천시 상동 523-8번지 에이스프라자 402호,37.5125933,126.7524971
428,용인대 금메달 브레인 태권도장,경기도 부천시 옥길동 777-1 ,37.46264688,126.8127467
429,얄린태권도체육관,경기도 부천시 중동 1101번지 연화마을 상가 3층,37.4976205,126.780298
430,Team5유도교실,경기도 부천시 중동 1146-4번지 무광프라자 302호,37.5015413,126.7717141
431,예전태권도체육관,경기도 부천시 고강동 416-11번지,37.524707,126.8244042
432,고려대슈퍼아이태권도장,경기도 부천시 중동 3-77번지 ,37.5089258,126.7744963
433,대학태권도체육관,경기도 부천시 송내동 588-3번지,37.4816797,126.7697968
434,정도태권도장,경기도 부천시 원종동 214-6번지,37.5225904,126.8023731
435,캡틴 코리아 태권도장,경기도 부천시 옥길동 726-1번지 ,37.4678785,126.8224595
436,영웅체육관,경기도 부천시 소사본동 230번지,37.4712135,126.7957956
437,혜성합기도 체육관,경기도 부천시 역곡동 67-7번지 ,37.48931978,126.8095404
438,숭무관,경기도 부천시 원종동 138-32 ,37.52668126,126.8008763
439,부천 캡틴코리아 태권도장,경기도 부천시 옥길동 726-1번지 센타프라자 ,37.4679055,126.8224368
440,용인대 석사 해솔태권도장,경기도 부천시 상동 397번지 ,37.49267615,126.7499968
441,신화합기도,경기도 부천시 원미동 83-9번지 ,37.49553731,126.7890228
442,고강체육관,경기도 부천시 고강동 318번지 ,37.52839468,126.8144626
443,히트앤핏,경기도 부천시 상동 536-2번지 월드컵타운 ,37.50724668,126.7549177
444,으뜸합기도체육관,경기도 부천시 소사본동 195번지 대원빌딩 ,37.47500991,126.7976279
445,합기도 진중관,경기도 부천시 심곡동 308-21번지 부영빌딩 ,37.49173929,126.7730466
446,서무체육관,경기도 부천시 상동 394번지 ,37.49637027,126.7539398
447,진(JIN)복싱다이어트,경기도 부천시 중동 713-9번지 5층호,37.49553401,126.7672177
448,용인대 NO.1 태권도장,경기도 부천시 옥길동 777-2 ,37.46243241,126.8130653
449,용인대하이유도관,경기도 부천시 중동 1134-1번지 상지프라자 ,37.49998027,126.7751342
450,GP주짓수멀티짐,경기도 부천시 중동 1056 제일프라자 ,37.50443589,126.7695745
451,명지대 검도교육관,경기도 부천시 심곡본동 711 ,37.47875753,126.7815078
452,화랑합기도,경기도 부천시 원종동 232-3 ,37.52681519,126.8052436
453,관우체육관,경기도 부천시 심곡본동 583-6번지 ,37.47957262,126.7750492
454,안래기 복싱클럽,경기도 부천시 괴안동 155-8 괴안동 세경프라자 ,37.47638177,126.8078143
455,김지호 복싱 다이어트,경기도 부천시 춘의동 122-1번지 4층,37.5049836,126.7862702
456,경희대 올림픽 태권도장,경기도 부천시 소사본동 409-6번지 504호,37.4724608,126.8033549
457,삼손복싱체육관,경기도 부천시 송내동 709-5번지 5층,37.486402,126.7527429
458,한양대 왕호 태권도장,경기도 부천시 소사본동 149-37번지,37.4763433,126.7924916
459,용인대신라태권스쿨,경기도 부천시 원미동 109-17번지 3층일부,37.49337,126.786349
460,경희대HERO's태권도교육관,경기도 부천시 여월동 335번지 두오프라자 201호,37.5112898,126.8064638
461,한국 꿈나무 태권도,경기도 부천시 상동 329-12번지 형제빌딩,37.4874266,126.7646004
462,경희베스트체대,경기도 부천시 심곡동 155-1번지 지하,37.4895926,126.7851048
463,원미정도태권도장,경기도 부천시 원미동 2-2번지 2층 ,37.4981745,126.7925774
464,용인대석사한가림태권도장,경기도 부천시 중동 1181번지 미리내마을 동성상가 302호,37.4990146,126.7697203
465,태비 바른아이 태권도장,경기도 부천시 여월동 5-20번지 301호 ,37.5191223,126.7975749
466,신한체육관,경기도 부천시 약대동 83-1번지 ,37.5147066,126.7680766
467,부부 우리 태권도장,경기도 부천시 고강동 310-24번지 조광프라자 ,37.527508,126.8121569
468,강석태권도전문교육관,경기도 부천시 범박동 151-2번지 현대힐스테이트5단지 상가동 302호,37.4689905,126.8078519
469,튼튼체육관,경기도 부천시 역곡동 18-11번지,37.4839254,126.8003283
470,동남체육관,경기도 부천시 중동 11-2블럭호,37.5111475,126.7679973
471,GLH태권도장 3관,"경기도 부천시 중동 1182번지 그린타운 상가동 301,302호",37.4974282,126.769386
472,금성체육관,경기도 부천시 심곡본동 675번지 4층,37.4822075,126.7819379
473,빅터 아카데미 주짓수,경기도 부천시 원미동 77-2 새마을금고부천지점 ,37.49532774,126.7910214
474,신흥태권도장,경기도 부천시 춘의동 127번지 2층,37.50548,126.781858
475,승리태권도장,경기도 부천시 상동 445 ,37.49362512,126.7574286
476,고려대태권도전문도장,경기도 부천시 상동 536-1번지 703반,37.5072006,126.7544944
477,부천한양유도체육관,경기도 부천시 소사본동 216번지,37.4722675,126.7956909
478,다윗태권스쿨,경기도 부천시 심곡동 125-15번지 4층,37.4844823,126.789156
479,삼부태권도장,경기도 부천시 심곡동 437-19번지,37.4923686,126.7807998
480,용인대유대태권도체육관,경기도 부천시 중동 707-2번지,37.4957605,126.7644382
481,용인대타이곤태권도장,경기도 부천시 상동 536-0001번지 보람프라자 7층 703호,37.5072006,126.7544944
482,나토얀태권도,경기도 부천시 원종동 134-7번지,37.5267553,126.8037421
483,도계수련원,경기도 부천시 원종동 375-9 ,37.51867122,126.8044251
484,키즈펀태권도,경기도 부천시 송내동 369번지 302호,37.4853486,126.761769
485,용인대태풍태권도장,경기도 부천시 상동 395 반달마을 상가동 3층304호 ,37.49391147,126.7528104
486,고려대태권스쿨,경기도 부천시 심곡동 153-10번지 2층,37.4883424,126.7862956
487,용인대 국가대표 부부 태권도장,경기도 부천시 도당동 116-15번지,37.5202326,126.793624
488,한국체대 다윗태권도,경기도 부천시 고강동 380-3번지 3층,37.5289787,126.819156
489,태극태권도장,경기도 부천시 상동 535-1번지 503반,37.5072623,126.7538608
490,웅비체육관,경기도 부천시 심곡동 377-12번지 ,37.48867445,126.7807203
491,경희대태권도장,경기도 부천시 옥길동 744-2번지 6층 ,37.4666118,126.8234985
492,명문 태권도장,경기도 부천시 송내동 454-11번지 ,37.4796497,126.7684351
493,충무체육도장,경기도 부천시 상동 318-4번지,37.4884864,126.7629349
494,동광신태권도체육관,경기도 부천시 심곡동 150-3번지,37.4872065,126.7859597
495,부천용인대유도체육관,경기도 부천시 심곡동 106-5번지 지층호,37.4913475,126.7840481
496,한체대상일태권스쿨,경기도 부천시 상동 231-35번지 2층 ,37.4924858,126.7624358
497,경희대석사백마체육관,경기도 부천시 원종동 237-15 3층 ,37.52791654,126.808606
498,엘리트 합기도,경기도 부천시 옥길동 726-4번지 상림프라자 ,37.46718419,126.8220995
499,포올(For all),경기도 부천시 중동 1033-3번지 굿모닝프라자 315~316호,37.5049778,126.7644994
500,경희대열정태권도,경기도 부천시 도당동 67-28번지,37.5173159,126.7899673
501,성산태권도장,경기도 부천시 도당동 130-2번지,37.5195322,126.7949382
502,트라이스톤GYM,경기도 부천시 심곡동 177-9번지,37.4860381,126.7826615
503,부천태권도장,경기도 부천시 중동 1028-1번지 302호 ,37.50845252,126.7629615
504,화랑K 태권도장,경기도 부천시 소사본동 244-66 동문밀리언상가 ,37.47571131,126.8011026
505,용인대 TOP 복싱,경기도 부천시 원종동 224-1번지 장우빌딩 3층,37.5224767,126.8044322
506,경희대번개태권도,경기도 부천시 범박동 151-2번지 현대홈타운 5단지 상가 302호,37.4689905,126.8078519
507,대한검도 소사관,경기도 부천시 옥길동 744-3 ,37.46647479,126.8231831
508,명성체육관,경기도 부천시 중동 1027-2번지 101호,37.5109278,126.7617999
509,경희대금성체육관,경기도 부천시 소사본동 203-19번지 2층,37.472601,126.7957691
510,휘트니스체육관,경기도 부천시 중동 1144-4번지 502반,37.500869,126.7734691
511,수주태권도체육관,경기도 부천시 고강동 311-8번지 수주태권도 ,37.5282301,126.8129923
512,홍익태권도,경기도 부천시 송내동 587-3번지 ,37.4824815,126.7697943
513,용인대 큰나라 태권도,경기도 부천시 중동 1052-3번지 지층1호,37.5069814,126.7707699
514,튼튼아이태권도,"경기도 부천시 원미동 114-1번지 풍림아파트상가 204~7, 215~6호",37.4913971,126.7914656
515,"에스알체육관(유도,격투기)",경기도 부천시 오정동 114-22번지 4층,37.5284797,126.7902637
516,푸른합기도,경기도 부천시 옥길동 504-4 ,37.47590428,126.8234147
517,팀 루타도 MMA,경기도 부천시 옥길동 745-7 지음프라자 ,37.46726365,126.8240015
518,GP주짓수멀티짐,경기도 부천시 중동 1056 제일프라자 ,37.50443589,126.7695745
519,거인체육관 역곡관,경기도 부천시 역곡동 411번지 동부센트레빌3단지아파트 ,37.49169095,126.8131707
520,용인대 준 태권도,경기도 부천시 여월동 335번지 두오파크프라자 ,37.51128989,126.8064638
521,아이베스트,경기도 부천시 상동 523-11 늘푸른상가 ,37.51261666,126.7531671
522,진스태권도장,경기도 부천시 중동 1113번지 위브더스테이트 ,37.49709882,126.7783569
523,항동 태권도,경기도 부천시 옥길동 482-4 ,37.4713564,126.8256836
524,건무관,경기도 부천시 심곡본동 691번지 ,37.48027954,126.7798194
525,한얼합기도,경기도 부천시 도당동 61-4번지 에덴빌딩 ,37.52031805,126.7909656
526,하늘합기스쿨,경기도 부천시 상동 397번지 ,37.49267615,126.7499968
527,점프스타 태권줄넘기,경기도 부천시 도당동 67-28번지 ,37.5173159,126.7899673
528,초석검도관,경기도 부천시 중동 713-3 ,37.49563795,126.766538
529,경희대 한결 태권도장,경기도 부천시 고강동 398-2번지 DH(주상복합)빌딩 ,37.5258109,126.8215395
530,한국체대 길 태권도장,경기도 부천시 중동 1289번지 ,37.48996005,126.7680866
531,경희대 상동 태권도장,경기도 부천시 상동 394-1번지 ,37.49551463,126.7544087
532,비앤지 주짓수&합기도,경기도 부천시 송내동 368 상가동 ,37.485319,126.763879
533,현 검도관,경기도 부천시 소사본동 409-3 센트럴프라자 ,37.47322238,126.8039531
534,대무관,경기도 부천시 괴안동 155-8 ,37.47638177,126.8078143
535,용인대한울태권도,경기도 부천시 상동 590-1 목련마을 상가동 303호,37.49387887,126.7476749
536,원종검도관,경기도 부천시 여월동 5-20번지 4층 ,37.5190323,126.7975752
537,경희대석사등룡태권도장,경기도 부천시 여월동 7-4번지 ,37.51970181,126.7991796
538,강산권투체육관,경기도 부천시 소사본동 128-16 ,37.48068225,126.7957857
539,부천한국체대입시,경기도 부천시 중동 1149번지 부천중동리슈빌엔클래스,37.503231,126.7695715
540,데일리짐복싱,경기도 부천시 송내동 373 ,37.48440179,126.7642273
541,금홍복싱클럽,경기도 부천시 고강동 346-1 동림빌딩 ,37.52656643,126.8166763
542,프로 스크린골프,경기도 부천시 상동 533-3번지 아트프라자 201호,37.5076516,126.7505005
543,신정태권도장,경기도 부천시 괴안동 28-5 정석빌딩 ,37.47896643,126.8028367
544,충호체육관,경기도 부천시 심곡동 92-12번지,37.4955715,126.7831085
545,한국체대천지태권도(HSTM),경기도 부천시 원종동 366-2번지 ,37.5196159,126.8070189
546,상승체육관,경기도 부천시 춘의동 214-33번지,37.5010903,126.7856821
