연번,구분,구역명,조합 주소,연락처,정비구역,정비구역 면적,계획 세대수,분양세대수,임대세대수,건축계획 수,건축계획수,건폐율(%),용적률(%),추진위원회 승인일자,정비구역지정,정비구역변경,조합설립인가,사업시행 인가일자,관리처분계획 인가일자,착공,분양승인,준공인가,조합해산,진행단계
1,재개발,중동1-1구역,"경기도 부천시 부일로 322, 3층             ",032-666-5248,중동 780,16143,339,311,28,3,29,21.83,280,2006-11-30,2009-02-09,2016-05-23,2009-07-24,2010-11-01,2015-12-30,2017-03-30,2017-04-05,2019-11-27,,준공(2019.11.27.)
2,재개발,송내1-2구역,"경기도 부천시 경인로 33, 3층            ",032-663-3375,송내동 427-32,40431,831,764,67,8,29,20.72,263,2006-11-30,2008-12-22,2018-07-16,2009-05-08,2010-03-08,2016-05-09,2018-11-27,2018-11-28,,,공사중(공사기간 2018.11 ~ 2021.08)
3,재개발,계수.범박구역,"경기도 부천시 범안로 133, 301",032-345-4472,범박동 1-6번지,295044,3724,3535,189,37,29,16.28,239,2006-05-23,2009-10-26,2018-07-16,2010-05-31,2017-01-31,2018-05-02,2019-08-27,2019-08-28,,,공사중(공사기간 : 2019.09.~ 2023.01)
4,재개발,심곡3-1구역,,,심곡동 194,4413,334,334,,,,65이하,993,,2019-11-25,,,,,,,,,정비구역 지정
5,재개발,삼정1-2구역,"경기도 부천시 중동로 420번길6, 3층         ",032-672-5551,삼정동 284,97261,1997,1837,160,21,22,19.64,246,2006-12-27,2009-04-20,2017-07-10,2009-12-04,2011-12-26,,,,,,정비구역 해제 및 조합설립인가 취소(2018.10.22.)
6,재개발,소사1-1구역,"경기도 부천시 부일로 509, 5층             ",032-347-3551,심곡동 483-6,25881,748,688,60,6,28,24.98,317,2006-12-15,2009-04-20,2018-02-19,2011-06-20,2014-06-30,,,,,,조합설립인가 취소 및 정비구역해제(2018.12.03.)
7,재개발,원종2-1구역,,,오정동139-11,25230,462,425,37,7,14,22.93,224,,2017-07-17,,,,,,,,,정비구역 해제 고시(19.12.09)
8,재개발,괴안2D구역,"경기도 부천시 경인로 553, 2층",032-351-1921,괴안동 189번지 일원,25876,602,536,66,4,36,60,400,2009-06-08,2007-03-12,2019-01-14,2011-10-27,,,,,,,"사업시행인가 유보, 해제절차 진행중"
9,재개발,괴안3D구역,"경기도 부천시 경인로 587번길 18-17, 2층",032-342-5156,괴안동 201번지 일원,38323,759,674,85,6,35,60,275,2009-08-01,2007-03-12,2018-10-29,2011-04-06,2018-11-07,2019-11-05,,,,,관리처분인가
10,재개발,소사3구역,경기도 부천시 부흥로 487,032-344-5834,소사동 48-21번지 일대,76133,1677,1541,136,14,38,21.00 이하,288이하,2006-10-09,2008-03-10,2019-12-30,2008-09-24,,,,,,,사업시행인가 준비중
11,재개발,소사본1-1구역,"경기도 부천시 부천시 소삼로 2, 2층",032-345-0744,소사본동 88-39,45548,1244,1181,63,5,46,29.2,737,2006-11-17,2009-05-18,2010-05-24,2009-08-24,,,,,,,정비계획변경 준비중
12,재개발,도당1-1구역,"경기도 부천시 부천로 261, 3층                     ",032-675-5285,도당동 263,137023,2291,1901,390,22,28,17.4,252,2006-11-07,2008-11-17,,2009-02-27,2010-07-19,,,,,,조합설립인가 취소 및 정비구역해제(2019.05.20.)
1,재건축,약대주공,"경기도 부천시 평촌로 700, 3층",,약대동 33 외 4,101985.9,1613,1463,150,23,25,21.3,249.97,2003-12-30,2007-04-02,,2007-07-13,2007-09-10,2008-01-25,2010-03-18,2011-10-06,2017-07-31,2019-08-14,조합해산완료
2,재건축,심곡본1-1구역(심곡주공),"경기도 부천시 성주로 168, 4층",,심곡본동 801,15355.4,354,354,,6,19,21.1,248.13,2009-08-14,2011-08-08,,2012-01-11,2015-03-20,2015-10-22,2016-06-22,2016-06-24,2018-09-20,,준공 이전고시 완료
3,재건축,괴안1-6구역 (동신아파트),"경기도 부천시 경인로 536번길 30, 3층",032-341-2344,괴안동 203-2,42952,921,921,,9,29,17,250,2003-12-31,2007-09-17,,2009-09-15,2014-09-22,2016-12-09,2017-08-03,2018-01-24,,,공사중 (17.08~20.04)
4,재건축,송내1-1구역,"경기도 부천시 송내대로 42번길 77, 2층",032-664-5101,송내1동 338,42612,1062,1062,,12,21,40이하,268,2007-07-06,2014-02-17,,2017-03-14,,,,,,,조합설립인가
5,재건축,성곡2-1구역,경기도 부천시 까치로 124번길 50 미성아파트 관리사무소,032-674-0361,원종동352,17396,413,413,,,,40,230이하,2018-07-11,2017-12-26,,2019-05-08,,,,,,,조합설립인가
6,재건축,역곡1-2구역,,032-346-3310,역곡동 75-3,16940,441,441,,,,,,2009-07-23,,,,,,,,,,장기간 추진 지연
7,재건축,괴안3-1구역(조공1차아파트),,,괴안동 36,14774,,,,,,,,,,,,,,,,,,"정비예정구역(안전진단 실시 결과-유지보수,2018.08.09.) "
8,재건축,괴안3-6구역(대진아파트),,,괴안동 171-6,14203,,,,,,,,,,,,,,,,,,"정비예정구역(안전진단 실시 결과-유지보수,2018.08.09.) "
9,재건축,"심곡본3-2구역(극동,태경아파트)",,,심곡본동 566-1,29174,,,,,,,,,,,,,,,,,,"정비예정구역(안전진단 실시 결과-유지보수,2018.08.09.) "
10,재건축,심곡본3-1구역(롯데아파트),,,심곡본동 617-11,22225,,,,,,,,,,,,,,,,,,정비예정구역
11,재건축,소사본3-2구역(한신아파트),,,소사본 277-12,40377,,,,,,,,,,,,,,,,,,정비예정구역
12,재건축,괴안3-2구역(조공2차아파트),,,괴안동 33,27634,,,,,,,,,,,,,,,,,,정비예정구역
13,재건축,송내3-1구역(동신아파트),,,송내동 441-8,17767,,,,,,,,,,,,,,,,,,정비예정구역
14,재건축,고강3-1구역(고강아파트),,,고강동 246-5,19064,,,,,,,,,,,,,,,,,,정비예정구역
1,가로주택정비,로얄연립,"경기도 부천시 소사로126번길 15, 경비실",032-343-1120,소사본동 229-12외 13필지,3976.6,118,118,,2,,31.64,249.97,,,,2017-02-16,2019-03-29,,2019-11-07,2019-12-27,,,공사중(19.11~21.10)
2,가로주택정비,신흥연립,경기도 부천시 심곡동 95-3 B동 208호,,심곡동 95-3외 6필지,3040.3,84,84,,1,,34.77,221,,,,2017-08-28,,,,,,,조합설립인가
3,가로주택정비,새한빌라,경기도 부천시 고강동 377-15번지 지층 1호,032-674-2100,고강동 377-15외 10필지,2106.8,76,76,,1,,40.3,247.89,,,,2017-08-24,,,,,,,조합설립인가
4,가로주택정비,삼협연립3차(마을주차장),"경기도 부천시 경인로 498번길 56, 2층(괴안동, 현대상가)",,괴안동 117번지,3616,96,96,,1,,34.11,221.21,,,,2017-09-06,,,,,,,조합설립인가
5,가로주택정비,부천원종LH참여형,"경기도 부천시 원종로 93번길 47, 나동 103호",032-673-2929,원종동 295-1외 3필지,4665.4,146,116,30,3,,36.44,249.14,,,,2018-03-08,,,,,,,조합설립인가
6,가로주택정비,진주연립,경기도 부천시 원종동 237-3,032-676-0787,원종동 294-5,2062.3,63,63,,1,,40.18,249.73,,,,2018-05-24,,,,,,,조합설립인가
7,가로주택정비,공항주택 296-5,경기도 부천시 원종동 296-5 자동 201호,,원종동 296-5,1809.6,48,48,,1,,35.77,229.03,,,,2018-06-11,2019-08-12,,,,,,사업시행계획인가
8,가로주택정비,역곡대림아파트 경기도시공사 참여형,경기도 부천시 역곡동 대림아파트 관리사무소,,역곡동 104,2676.6,81,81,,1,,25.28,247.1,,,,2018-10-30,,,,,,,조합설립인가
9,가로주택정비,부천여월LH참여형(마을주차장),"경기도 부천시 성오로 39, 정우주택 가동 101호",,여월동 9-29외 1필지,4747.3,167,,,3,,45.41,249.45,,,,2018-11-01,,,,,,,조합설립인가
10,가로주택정비,부천원종엘리트주택,"경기도 부천시 원종동 334-8, 엘리트주택 7동 B01호",,원종동 334-2외 6필지,1529.3,60,60,,1,,49.61,229.3,,,,2019-01-03,,,,,,,조합설립인가
11,가로주택정비,태평연립,경기도 부천시 원종동 336-3 태평연립 나동 203호,,원종동 336-3,1583.2,50,50,,1,,36.92,247.69,,,,2019-03-20,,,,,,,조합설립인가
12,가로주택정비,원미 반도한양,경기도 부천시 원미동 121-1 반도4동 104호,02-3456-0000,원미동 119-2 외 3필지,3388.6,110,110,,1,,28.6,249.6,,,,2019-04-15,,,,,,,사업시행자 지정
13,가로주택정비,세종빌라외,경기도 부천시 역곡로482번길 48,032-676-4744,고강동 289-2 외 10필지,2842.2,100,100,,1,,33.13,249.64,,,,2019-09-27,,,,,,,조합설립인가
14,가로주택정비,삼하동호진주연립,경기도 부천시 고강동 293-13,032-676-3336,고강동 293-2 외 7필지,2855.4,73,,,1,,,,,,,2019-10-22,,,,,,,조합설립인가
15,가로주택정비,삼우APT성원수정빌라,경기도 부천시 고강동 309-8,,고강동 310-9 외 6필지,3735.5,124,,,1,,,,,,,2019-10-29,,,,,,,조합설립인가
16,가로주택정비,은성빌라 외,경기도 부천시 원종동 134-7 1층,,원종동 136-4 외 11필지,2758.8,96,,,1,,,,,,,2019-11-04,,,,,,,조합설립인가
17,가로주택정비,공항연립,경기도 부천시 원종동 298-5 공항연립 8동 201호,,원종동 298-1 외 7필지,7583.6,190,,,1,,,,,,,2019-11-05,,,,,,,조합설립인가
18,가로주택정비,영신연립,경기도 부천시 범안로 35번길 62 태청그린빌라 202호,,괴안동 93-11 외 1필지,1312.3,49,,,1,,,,,,,2019-11-12,,,,,,,조합설립인가
19,가로주택정비,"광성,보원(경기도시공사 참여형)",경기도 부천시 원종동 139-2 은성아파트 다동 2층,,원종동 131 외 6필지,5287.6,202,,,1,,,,,,,2019-11-12,,,,,,,조합설립인가
20,가로주택정비,"부촌아파트(1차,2차)",경기도 부천시 고강동 293-19 1층,,고강동 292-8 외 2필지,6163.1,190,,,1,,,,,,,2019-11-18,,,,,,,조합설립인가
21,가로주택정비,심곡동 영화연립,경기도 부천시 심곡동 107-8번지 영화연립 C동 102호,032-652-2588,심곡동 107-8 외 6필지,3042.3,99,99,,1,,,,,,,2019-11-25,,,,,,,사업시행자 지정
22,가로주택정비,로얄빌라 외,경기도 부천시 고강본동 345-26 1층,,고강동 334-7번지  외 10필지,2344.8,77,,,1,,,,,,,2019-11-26,,,,,,,조합설립인가
23,가로주택정비,반석빌라,경기도 부천시 고강동 346-1 101호,,고강동 303-8 외 2필지,806.8,30,,,1,,,,,,,2019-11-28,,,,,,,조합설립인가
24,가로주택정비,우진아파트,경기도 부천시 내동 333번지 1층,,오정동 570-5 외 1필지,1700.9,48,,,1,,,,,,,2019-11-29,,,,,,,조합설립인가
25,가로주택정비,영동주택,경기도 부천시 고강동 305-9번지 102호,,원종동 288번지 외 21필지,5051.1,192,,,1,,,,,,,2019-11-29,,,,,,,조합설립인가
26,가로주택정비,명신아파트,경기도 부천시 원종동 387번지내 명신아파트나동 402호,,원종동 387,3261.6,110,,,1,,,,,,,2019-12-05,,,,,,,조합설립인가
27,가로주택정비,부촌3차아파트 외,경기도 부천시 고강동 309-8번지,,오정동 140-5 외 15필지,7157.7,231,,,1,,,,,,,2019-12-27,,,,,,,조합설립인가
28,가로주택정비,현대88아파트,경기도 부천시 괴안동 88번지 내 관리사무소,,괴안동 88번지,1638.8,56,,,1,,,,,,,2020-01-03,,,,,,,조합설립인가
29,가로주택정비,진안빌라외,경기도 부천시 고강동 401-16 진안빌라 2동 201호,,고강동 401-3 외 13필지,2568.5,94,,,1,,,,,,,2020-01-16,,,,,,,조합설립인가
30,가로주택정비,오정613,"경기도 부천시 상오정로 36, A동 B02호",,오정동 613번지 외 23필지,6130.1,203,,,1,,,,,,,2020-01-23,,,,,,,조합설립인가
1,소규모재건축,해바라기연립,경기도 부천시 심곡본동 572-12 지층,032-656-0477,송내동 598-3번지,2784,87,87,,1,15,36.06,229.55,2014-11-20,,,2015-09-03,2016-12-01,2017-11-13,2018-09-17,2018-01-11,,,공사중(18.09~20.05)
2,소규모재건축,삼협연립 및 단독주택,"경기도 부천시 원미로 144번길 11, 2층",032-655-8373,원미동 151-6번지 일원,7432.5,219,219,,3,25,20.8,249.97,2004-01-08,,,2004-02-26,2005-07-13,2018-02-26,2019-03-26,2019-04-18,,,공사중(19.03~21.09)
3,소규모재건축,금호아파트,"경기도 부천시 괴안동 130-18, 2층",032-343-2524,괴안동 167-10번지 일원,2369,79,79,,1,13,28.67,229.88,2015-06-29,,,2017-01-12,2017-10-30,2018-03-19,2018-06-25,,2020-01-23,,준공인가
4,소규모재건축,오건아파트,"경기도 부천시 원종동 231-7, 3층",032-649-7421,원종동 159-1번지,3958,136,136,,14,,27.99,249.38,2013-11-25,,,2016-11-18,2019-05-30,,2020-01-16,,,,공사중(20.01~21.10)
5,소규모재건축,광희아파트,"경기도 부천시 심곡본동 617-140, 광희아파트 6동 205호",032-664-6799,심곡본동 617-140번지,6300,195,195,,3,22,39.5,249.7,2015-05-04,,,2016-08-19,,,,,,,조합설립인가
6,소규모재건축,화성연립,경기도 부천시 범안로 8번길 11,,괴안동 40,1596,42,42,,1,9,50,229.98,2016-06-16,,,2018-04-25,,,,,,,조합설립인가
7,소규모재건축,삼양연립,경기도 부천시 고강동 309-3 라동 301호,032-693-2589,고강동 309-3 외3필지,3206,70,70,,1,10,23.73,199.1,2003-12-06,,,2004-05-19,2004-12-31,2006-06-01,,,,,조합설립인가
8,소규모재건축,광한,경기도 부천시 신흥동 169 미림프라자 201호,032-345-6702,괴안동2-4번지외4필지,2791.1,76,76,,2,19,23.84,229.69,,,,2018-07-27,,,,,,,조합설립인가
9,소규모재건축,건부아파트,경기도 부천시 심곡동 95-1,,심곡동 95-1,2845.5,102,102,,1,20,23.32,249.48,,,,2018-10-31,2019-11-29,,,,,,사업시행계획인가
10,소규모재건축,청암아파트,경기도 부천시 괴안동 124번지정동빌딩 202호,032-341-9298,"괴안동 91-1, 91-2",6166.4,183,183,,2,23,20.57,229.97,,,,2019-03-21,,,,,,,조합설립인가
11,소규모재건축,장미아파트,경기도 부천시 원종동 369 관리사무소,032-674-7242,원종동 369,5772,177,177,,11,,29.92,229.28,,,,2019-04-01,,,,,,,조합설립인가
12,소규모재건축,무궁화연립,"경기도 부천시 심곡동 116-1, 무궁화연립 C동 305호 ",,심곡동 116-1,1744.8,49,49,,1,15,24.28,229.17,,,,2019-04-03,,,,,,,조합설립인가
13,소규모재건축,동성아파트,"경기도 부천시 역곡동 247, 동성아파트 경비실 ",032-345-7108,역곡동 247번지 외 1필지,4128,116,116,,3,17,28.75,224.34,,,,2019-07-15,,,,,,,조합설립인가
14,소규모재건축,삼협연립,"경기도 부천시 경인로498번길 83, 삼협2차 3동 103호",032-347-0569,역곡동 247번지 외 1필지,4128,86,86,,3,17,28.75,224.34,,,,2019-08-19,,,,,,,조합설립인가
15,소규모재건축,한아름아파트,경기도 부천시 괴안동 3-16 한아름아파트 관리사무소,032-347-0569,괴안동 3-16,1686.5,61,61,,1,17,,,,,,2019-09-16,,,,,,,조합설립인가
16,소규모재건축,한아름아파트 5차,경기도 부천시 경인로로562번길21,,"괴안동 184,184-1",2381.3,79,79,,1,15,56.69,249.3,,,,2019-11-04,,,,,,,조합설립인가
17,소규모재건축,욱일6차아파트,경기도 부천시 원종동 296-1 태산상가 3층 2-1호,,원종동 69-18,5716,160,,,1,15,38.58,229.5,,,,2019-12-12,,,,,,,조합설립인가
