집계일자,시군명,구분명,전화번호안내,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
2021-12-01,동두천시,동두천시치매안심센터,031-860-3395,11344,경기도 동두천시 중앙로 167,경기도 동두천시 생연동 714-9,37.89661147,127.0517171
2021-12-01,동두천시,농업기술정보센터,031-860-3326,11340,경기도 동두천시 강변서로 349,경기도 동두천시 상패동 307-7,37.89630485,127.0435672
2021-12-01,동두천시,어수정작은도서관,031-860-3275,11328,경기도 동두천시 중앙로 283,경기도 동두천시 생연동 605-4,37.90677664,127.0541529
2021-12-01,동두천시,운동장작은도서관,031-860-3295,11319,경기도 동두천시 어등로 50,경기도 동두천시 생연동 80,37.89938432,127.0696877
2021-12-01,동두천시,남산모루작은도서관,031-866-7970,11337,경기도 동두천시 상패로 138,경기도 동두천시 상패동 20-1,37.91211561,127.0513424
2021-12-01,동두천시,동두천커뮤니센터,031-860-2275,11324,경기도 동두천시 중앙로361번길 19,경기도 동두천시 보산동 426-34,37.91400227,127.0568827
2021-12-01,동두천시,소요동행정복지센터,031-860-3154,11307,경기도 동두천시 평화로 2706,경기도 동두천시 동두천동 262,37.92948972,127.0572543
2021-12-01,동두천시,종합운동장,031-860-3330,11320,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987
2021-12-01,동두천시,자유수호평화박물관,031-860-3330,11307,경기도 동두천시 평화로2910번길 96-63,경기도 동두천시 상봉암동 162-10,37.94250187,127.0660561
2021-12-01,동두천시,두드림뮤직센터,031-860-2727,11324,경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,37.91584622,127.0565068
2021-12-01,동두천시,EM센터,031-860-2102,11302,경기도 동두천시 강변로 872,경기도 동두천시 동두천동 432-1,37.94229789,127.0563815
2021-12-01,동두천시,광암동다목적회관,031-860-3094,11322,경기도 동두천시 광암로61번길 21,경기도 동두천시 광암동 183-2,37.89373486,127.0891779
2021-12-01,동두천시,재활용센터,031-860-2102,11302,경기도 동두천시 강변로 872,경기도 동두천시 동두천동 432-1,37.94229789,127.0563815
2021-12-01,동두천시,동두천국민체육센터,031-860-3276,11360,경기도 동두천시 천보산로 688,경기도 동두천시 탑동동 799,37.89056124,127.0921526
2021-12-01,동두천시,동두천시의회,031-860-2525,11317,경기도 동두천시 방죽로 23,경기도 동두천시 생연동 457-9,37.90341068,127.0615412
2021-12-01,동두천시,생연1동행정복지센터,031-860-3013,11318,경기도 동두천시 장고갯로 140,경기도 동두천시 생연동 216-2,37.90739411,127.0658974
2021-12-01,동두천시,생연2동행정복지센터,031-860-3033,11331,경기도 동두천시 생연로 95,경기도 동두천시 생연동 810-5,37.90121789,127.0499055
2021-12-01,동두천시,중앙동행정복지센터,031-860-3053,11328,경기도 동두천시 생연로 172,경기도 동두천시 생연동 587-16,37.90775728,127.0532394
2021-12-01,동두천시,보산동행정복지센터,031-860-3073,11309,경기도 동두천시 싸리말로 28,경기도 동두천시 보산동 314-5,37.91764210,127.0613165
2021-12-01,동두천시,불현동행정복지센터,031-860-3094,11358,경기도 동두천시 행선로 123,경기도 동두천시 생연동 348,37.89851268,127.0624376
2021-12-01,동두천시,송내동행정복지센터,031-860-3134,11350,경기도 동두천시 동두천로 97,경기도 동두천시 지행동 722-3,37.89020657,127.0539089
2021-12-01,동두천시,상패동행정복지센터,031-860-3175,11340,경기도 동두천시 어수로 8,경기도 동두천시 상패동 122-2,37.90537169,127.0442776
2021-12-01,동두천시,보건소,031-860-3372,11344,경기도 동두천시 중앙로 167,경기도 동두천시 생연동 714-9,37.89661147,127.0517171
2021-12-01,동두천시,시민회관,031-860-3242,11340,경기도 동두천시 어수로 4,경기도 동두천시 상패동 122,37.90526403,127.0430631
2021-12-01,동두천시,평생교육원,031-860-3311,11350,경기도 동두천시 중앙로 110-18,경기도 동두천시 지행동 722-1,37.89088078,127.0532318
2021-12-01,동두천시,꿈나무정보도서관,031-860-3281,11349,경기도 동두천시 지행로 38,경기도 동두천시 지행동 717-4,37.89215013,127.0514001
2021-12-01,동두천시,동두천시청,031-865-7101,11317,경기도 동두천시 방죽로 23,경기도 동두천시 생연동 457-9,37.90341068,127.0615412
2021-12-01,동두천시,환경사업소,031-860-3194,11301,경기도 동두천시 봉동로 27,경기도 동두천시 상봉암동 173번지,37.94587591,127.0574491
2021-12-01,동두천시,아름다운문화센터,031-860-3323,11350,경기도 동두천시 중앙로 110-18,경기도 동두천시 지행동 722-1,37.89088078,127.0532318
2021-12-01,동두천시,시립도서관,031-860-3261,11338,경기도 동두천시 상패로 60,경기도 동두천시 상패동 54-1,37.90668936,127.0476261
2021-12-01,동두천시,꿈나무정보도서관,031-860-3281,11349,경기도 동두천시 지행로 38,경기도 동두천시 지행동 717-4,37.89215013,127.0514001
2021-12-01,동두천시,경기북북어린이박물관,031-860-2860,11307,경기도 동두천시 평화로2910번길 46,경기도 동두천시 상봉암동 162-3,37.94467222,127.0644517
2021-12-01,동두천시,CCTV통합관제센터,031-860-2834,11330,경기도 동두천시 중앙로 249,경기도 동두천시 생연동 665-2,37.90399848,127.0533822
2021-12-01,동두천시,청소년수련관,031-867-7942,11362,경기도 동두천시 지행로 95,경기도 동두천시 지행동 284-1,37.89312738,127.0578128
2021-12-01,동두천시,동두천시정신건강복지센터,031-860-3433,11344,경기도 동두천시 중앙로 167,경기도 동두천시 생연동 714-9,37.89661147,127.0517171
2020-07-14,양주시,광적우체국,031-836-3004,11419,경기도 양주시 광적면 가래비6길 6,경기도 양주시 광적면 가납리 741-7번지,37.82350979,126.9859189
2020-07-14,양주시,양주덕계우편취급국,031-863-0222,11443,경기도 양주시 평화로 1445,경기도 양주시 덕계동 466-18번지,37.81980938,127.0467472
2020-07-14,양주시,남면행정복지센터,031-8082-7572,11404,경기도 양주시 남면 개나리17길 6,경기도 양주시 남면 신산리 257-2번지,37.89761105,126.9768998
2020-07-14,양주시,양주1동행정복지센터,031-8082-7703,11501,경기도 양주시 외미로64번길 45,경기도 양주시 남방동 119-4번지,37.7733586,127.0440739
2020-07-14,양주시,양주2동우체국,031-845-2005,11493,경기도 양주시 고읍북로 5,경기도 양주시 만송동 695-2번지,37.79661986,127.0811316
2020-07-14,양주시,양주1동우체국,031-840-0004,11498,경기도 양주시 평화로 1009,경기도 양주시 남방동 17-2번지,37.78162197,127.0453186
2020-07-14,양주시,은현우체국,031-863-5000,11427,경기도 양주시 은현면 은현로 73-36,경기도 양주시 은현면 선암리 342-33번지,37.87535545,127.0224355
2020-07-14,양주시,백석읍행정복지센터,031-8082-7503,11516,경기도 양주시 백석읍 중앙로223번길 46,경기도 양주시 백석읍 오산리 532번지,37.7947803,126.9852893
2020-07-14,양주시,양주2동행정복지센터,031-8082-7722,11493,경기도 양주시 고읍로 77,경기도 양주시 만송동 695번지,37.79689305,127.0803447
2020-07-14,양주시,회천1동행정복지센터,031-8082-7782,11450,경기도 양주시 덕정길 67,경기도 양주시 덕정동 140-1번지,37.84383275,127.0662082
2020-07-14,양주시,은현면행정복지센터,031-8082-7544,11427,경기도 양주시 은현면 은현로 66,경기도 양주시 은현면 선암리 341-2번지,37.87509218,127.0243713
2020-07-14,양주시,광적면행정복지센터,031-8082-7606,11419,경기도 양주시 광적면 가래비길 93,경기도 양주시 광적면 가납리 848-2번지,37.82458933,126.9836323
2020-07-14,양주시,양주시청,031-8082-4114,11498,경기도 양주시 부흥로 1533,경기도 양주시 남방동 1-1번지,37.78534893,127.0449188
2020-07-14,양주시,장흥면행정복지센터,031-8082-7638,11520,경기도 양주시 장흥면 권율로 7,경기도 양주시 장흥면 일영리 137-2번지,37.71788509,126.9408766
2020-07-14,양주시,회천2동행정복지센터,031-8082-7801,11443,경기도 양주시 평화로1475번길 39,경기도 양주시 덕계동 467-8번지,37.82166554,127.0467574
2020-07-14,양주시,회천3동행정복지센터,031-8082-7826,11451,경기도 양주시 회정로 143,경기도 양주시 덕정동 206-6번지,37.83782645,127.0689196
2020-07-14,양주시,회천4동행정복지센터,031-8082-7845,11465,경기도 양주시 옥정로 397-7,경기도 양주시 율정동 609-6번지,37.83727149,127.0901715
2020-07-14,양주시,보건소,031-8082-7116,11498,경기도 양주시 부흥로 1533,경기도 양주시 남방동 1-1번지,37.78534893,127.0449188
2020-07-14,양주시,은남통합보건지소,031-8082-7180~1,11426,경기도 양주시 남면 화합로610번길 161-13,경기도 양주시 남면 상수리 204-11,37.87017502,127.0063074
2020-07-14,양주시,장흥보건지소,031-8082-7190~2,11520,경기도 양주시 장흥면 권율로 7,경기도 양주시 장흥면 일영리 137-2번지,37.71788509,126.9408766
2020-07-14,양주시,봉암보건진료소,031-863-5340,11425,경기도 양주시 은현면 봉암14길 6,경기도 양주시 은현면 봉암리 184-5번지,37.90772053,127.0074977
2020-07-14,양주시,시립도서관 - 덕정도서관,031-8082-7420~4,11450,경기도 양주시 화합로1371번길 11,경기도 양주시 덕정동 151-53번지,37.84288075,127.0631866
2020-07-14,양주시,시립도서관 - 덕계도서관,031-8082-7450~8,11443,경기도 양주시 평화로1475번길 39,"경기도 양주시 덕계동 467-8번지 회천2동복합청사 7,8층",37.82166554,127.0467574
2020-07-14,양주시,시립도서관 - 옥정호수도서관,031-8082-7470~4,11473,경기도 양주시 옥정동로 7길 110,경기도 양주시 옥정동 1035-1,37.822995,127.0885604
2020-07-14,양주시,양주경찰서,182,11435,경기도 양주시 평화로 1699,경기도 양주시 회정동 84-7번지,37.84081437,127.0548961
2020-07-14,양주시,고읍지구대,031-869-9433,11493,경기도 양주시 고읍로 83,경기도 양주시 만송동 695-3번지,37.79651917,127.0809285
2020-07-14,양주시,은현파출소,031-869-9438,11427,경기도 양주시 은현면 화합로941번길 336,경기도 양주시 은현면 선암리 196-16번지,37.86180978,127.0285352
2020-07-14,양주시,백석파출소,031-867-9437,11504,경기도 양주시 백석읍 꿈나무로 142,경기도 양주시 백석읍 오산리 36-5번지,37.79645554,126.9904668
2020-07-14,양주시,매곡보건진료소,031-8082-4850,11400,경기도 양주시 남면 휴암로443번길 29-4,경기도 양주시 남면 매곡리 305번지,37.8933298,126.9582108
2020-07-14,양주시,연곡보건진료소,031-878-6290,11502,경기도 양주시 백석읍 부흥로419번길 26,경기도 양주시 백석읍 연곡리 241-2번지,37.81853277,126.9505046
2020-07-14,양주시,농업기술센터,031-8082-6104,11421,경기도 양주시 광적면 지섬로 162,경기도 양주시 광적면 광석리 278번지,37.82244338,126.9740864
2020-07-14,양주시,도시환경사업소,031-8082-6811~5,11447,경기도 양주시 평화로 1920,경기도 양주시 봉양동 932-6번지,37.85988168,127.0574032
2020-07-14,양주시,시립도서관 - 꿈나무도서관,031-8082-7401~6,11510,경기도 양주시 백석읍 꿈나무로 199,경기도 양주시 백석읍 오산리 548-4번지,37.79236464,126.9872752
2020-07-14,양주시,시립도서관 - 남면도서관,031-8082-7430~4,11404,경기도 양주시 남면 개나길 17길 24,경기도 양주시 남면 신산리 326-8,37.899046,126.975932
2020-07-14,양주시,시립도서관 - 고읍도서관,031-8082-7440~3,11492,경기도 양주시 고읍남로 205,경기도 양주시 광사동 659번지,37.79169238,127.0847463
2020-07-14,양주시,시립도서관 - 양주희망도서관,031-8082-7460~4,11487,경기도 양주시 삼숭로 38번길 78-47,경기도 양주시 삼숭동 202-36,37.795646,127.107486
2020-07-14,양주시,시립도서관 - 광적도서관,031-8082-7480~4,11419,경기도 양주시 광적면 광적로42번길 5,경기도 양주시 광적면 가납리 857-2,37.823418,126.982719
2020-07-14,양주시,시립도서관 - 장흥작은도서관,031-844-0987,11523,경기도 양주시 장흥면 호국로 470,경기도 양주시 장흥면 교현리 140번지,37.71373071,126.9693018
2020-07-14,양주시,장흥파출소,031-869-9435,11520,경기도 양주시 장흥면 호국로 179,경기도 양주시 장흥면 일영리 139-4번지,37.71715373,126.9407055
2020-07-14,양주시,주내파출소,031-869-9434,11496,경기도 양주시 부흥로 1617,경기도 양주시 마전동 163-6번지,37.77912353,127.0516964
2020-07-14,양주시,남면파출소,031-869-9439,11404,경기도 양주시 남면 개나리길 50,경기도 양주시 남면 신산리 285-183번지,37.8952284,126.9743632
2020-07-14,양주시,광적파출소,031-869-9436,11419,경기도 양주시 광적면 가래비길 54,경기도 양주시 광적면 가납리 741-2번지,37.82326017,126.986229
2020-07-14,양주시,회천지구대,031-869-9430,11451,경기도 양주시 회정로 133,경기도 양주시 덕정동 206-3번지,37.83770242,127.0680463
2020-07-14,양주시,덕계파출소,031-869-9431,11442,경기도 양주시 평화로 1427,경기도 양주시 덕계동 681-31번지,37.81822396,127.0456772
2020-07-14,양주시,양주소방서,031-849-8120,11504,경기도 양주시 백석읍 부흥로 1035번길 26,경기도 양주시 백석읍 오산리 513-1번지,37.79586973,126.9893961
2020-07-14,양주시,양주덕정동우체국,031-858-0001,11450,경기도 양주시 덕정길 29,경기도 양주시 덕정동 130-1번지,37.84418447,127.0639768
2020-07-14,양주시,백석우체국,031-879-2004,11508,경기도 양주시 백석읍 꿈나무로 7-5,경기도 양주시 백석읍 방성리 81-2번지,37.80540716,127.0005314
2020-06-30,양평군,서종면,031-770-3161,12502,경기도 양평군 서종면 북한강로 777,경기도 양평군 서종면 문호리 766-1번지,37.606584,127.348712
2020-06-30,양평군,양평군청,031-773-5101,12554,경기도 양평군 양평읍 군청앞길 2,경기도 양평군 양평읍 양근리 448-8번지,37.491741,127.4876821
2020-06-30,양평군,양평읍,031-770-3001,12563,경기도 양평군 양평읍 양근로 376,경기도 양평군 양평읍 창대리 436-1번지,37.478775,127.505511
2020-06-30,양평군,강상면,031-770-3041,12572,경기도 양평군 강상면 신화길 10,경기도 양평군 강상면 교평리 592-1번지,37.477204,127.4854892371
2020-06-30,양평군,단월면,031-770-3191,12529,경기도 양평군 단월면 보룡길 53,경기도 양평군 단월면 보룡리 343-2번지,37.538558,127.6729816843
2020-06-30,양평군,청운면,031-770-3221,12530,경기도 양평군 청운면 용두로 170,경기도 양평군 청운면 용두리 625-1번지,37.556255,127.710723
2020-06-30,양평군,옥천면,031-770-3131,12507,경기도 양평군 옥천면 옥천길 21,경기도 양평군 옥천면 옥천리 865-17번지,37.518148,127.4560364780
2020-06-30,양평군,지평면,031-770-3281,12541,경기도 양평군 지평면 지평의병로116번길 1,경기도 양평군 지평면 지평리 581-1번지,37.474526,127.595707
2020-06-30,양평군,용문면,031-770-3311,12514,경기도 양평군 용문면 용문로 428,경기도 양평군 용문면 다문리 2번지,37.486784,127.595711
2020-06-30,양평군,개군면,031-770-3341,12568,경기도 양평군 개군면 하자포길33번길 8,경기도 양평군 개군면 하자포리 262-2번지,37.425989,127.536798
2020-06-30,양평군,강하면,031-770-3071,12574,경기도 양평군 강하면 운심길 40,경기도 양평군 강하면 운심리 35-1번지,37.495837,127.410514
2020-06-30,양평군,양서면,031-770-3101,12584,경기도 양평군 양서면 목왕로 31,경기도 양평군 양서면 용담리 520-1번지,37.543979,127.326052
2020-06-30,양평군,양동면,031-770-3251,12539,경기도 양평군 양동면 학둔지아래길 93,경기도 양평군 양동면 쌍학리 181-3번지,37.419076,127.754806
2020-05-31,과천시,과천시청,02-502-5001~6,13806,경기도 과천시 관문로 69,경기도 과천시 중앙동 1-3번지,37.4302021,126.9867943
2020-05-31,과천시,문원동주민센터,02-2150-3600,13827,경기도 과천시 아랫배랭이로 35,경기도 과천시 문원동 187-1번지,37.42631619,127.0018651
2020-05-31,과천시,중앙동행정복지센터,02-2150-3100,13803,경기도 과천시 관문로 136,경기도 과천시 중앙동 68번지,37.4360881,126.9926915
2020-05-31,과천시,과천동주민센터,02-2150-3500,13813,경기도 과천시 과천대로 608-17,경기도 과천시 과천동 538-1번지,37.44840516,126.9954597
2020-05-31,과천시,별양동주민센터,02-2150-3300,13834,경기도 과천시 별양로 60,경기도 과천시 별양동 12번지,37.4242328,126.9937625
2020-05-31,과천시,부림동주민센터,02-2150-3400,13831,경기도 과천시 별양로 174,경기도 과천시 부림동 47번지,37.39873599,126.959442
2020-05-31,과천시,갈현동행정복지센터,02-2150-3200,13835,경기도 과천시 중앙로 28,경기도 과천시 갈현동 679번지,37.4193613,126.9891188
2020-05-26,화성시,병점1동,031-5189-4520,18411,경기도 화성시 경기대로 1010번길 11,경기도 화성시 병점동 367,37.2068629346,127.0372611539
2020-05-26,화성시,반월동,031-5189-456-0~6,18377,경기도 화성시 영통로61번길 32,경기도 화성시 반월동 856번지,37.2331375205,127.0605943777
2020-05-26,화성시,화산동,031-5189-4600,18360,경기도 화성시 화산중앙로16,경기도 화성시 안녕동 20-9,37.2060793774,127.0148962599
2020-05-26,화성시,동탄1동,031-5189-466-0~9,18446,경기도 화성시 동탄반석로 195,경기도 화성시 반송동 86번지,37.2064524016,127.0719171482
2020-05-26,화성시,기배동,031-5189-4580,18341,경기도 화성시 기안남로 62,경기도 화성시 기안동 457-21번지,37.2243401658,126.9846378253
2020-05-26,화성시,동탄2동,031-5189-4840,18443,경기도 화성시 동탄반석로 87,경기도 화성시 반송동 135,37.1969439894,127.0723088838
2020-05-26,화성시,동탄3동,031-5189-4070,18431,경기도 화성시 동탄지성로 151,경기도 화성시 능동 1119번지,37.2099556428,127.0587565943
2020-05-26,화성시,동탄5동,031-5189-4951,18463,경기도 화성시 동탄영천로 84,경기도 화성시 영천동 539-9,37.2100974472,127.1039821972
2020-05-26,화성시,동탄6동,031-5189-4640,18487,경기도 화성시 동탄산단8길 15-12,경기도 화성시 방교동 828,37.1733702911,127.0896201889
2020-05-26,화성시,동탄7동,031-5189-5670,18501,경기도 화성시 동탄대로 8길 36,경기도 화성시 산척동 726,37.1704840136,127.1104631204
2020-05-26,화성시,동탄8동,031-5189-5680,18500,경기도 화성시 동탄대로 87,경기도 화성시 장지동 927번지,37.1623180213,127.1052565210
2020-05-26,화성시,농업기술센터,031-5189-3605,18316,경기도 화성시 봉담읍 샘마을1길 7,경기도 화성시 봉담읍 상리 27-1,37.2200625108,126.9494663110
2020-05-26,화성시,맑은물사업소,031-5189-2445,18624,경기도 화성시 향남읍 발안로 527,경기도 화성시 향남읍 송곡리 183,37.1308400925,126.9649178107
2020-05-26,화성시,지역개발사업소,031-5189-3232,18588,경기도 화성시 향남읍 향남로 470,경기도 화성시 향남읍 도이리 산31-6,37.1374720666,126.9240117072
2020-05-26,화성시,환경사업소,031-5189-6701,18588,경기도 화성시 향남읍 향남로 470 환경사업소,경기도 화성시 향남읍 도이리 산31-6,37.1374720666,126.9240117072
2020-05-26,화성시,차량등록사업소,031-5189-3304,18588,경기도 화성시 향남읍 향남로 470,경기도 화성시 향남읍 도이리 산31-6,37.1374720666,126.9240117072
2020-05-26,화성시,동부출장소,031-5189-4114,18401,경기도 화성시 병점3로 23,경기도 화성시 진안동 526-2,37.2087779404,127.0359872470
2020-05-26,화성시,동탄출장소,031-5189-561-0~6,18478,"경기도 화성시 동탄대로 551-16, 2, 3층",경기도 화성시 오산동 967-107,37.2031687037,127.0968738822
2020-05-26,화성시,매향보건진료소,031-5189-2616,18570,경기도 화성시 우정읍 기아자동차로 221-6,경기도 화성시 우정읍 매향리 660-1,37.0492753003,126.7653225684
2020-05-26,화성시,조암우체국,031-358-5004,18566,경기도 화성시 우정읍 조암로 33,경기도 화성시 우정읍 조암리 210-7,37.0862194543,126.8188943769
2020-05-26,화성시,화성시보건소(건강증진과),031-5189-6211,18301,경기도 화성시 봉담읍 동화새터길 109,경기도 화성시 봉담읍 동화리 614,37.2170603625,126.9611197582
2020-05-26,화성시,동부보건지소,031-5189-4420,18412,경기도 화성시 떡전골로 72-3,경기도 화성시 병점동 400-6,37.2052852620,127.0349042449
2020-05-26,화성시,여울보건지소,031-5189-693-8~9,18497,경기도 화성시 동탄순환대로 13(낙원프라자) 2~4층,경기도 화성시 송동 717-5,37.1651405935,127.0949133888
2020-05-26,화성시,우정보건지소,031-5189-2891,18558,경기도 화성시 우정읍 화수동길 163,경기도 화성시 우정읍 조암리 411-1,37.1091086584,126.7991960390
2020-05-26,화성시,마도보건지소,031-5189-2582,18537,경기도 화성시 마도면 마도북로 389,경기도 화성시 마도면 석교리 243-2,37.2054881247,126.7696371409
2020-05-26,화성시,서신보건지소,031-5189-2584,18555,경기도 화성시 서신면 궁평항로 1702,경기도 화성시 서신면 매화리 277,37.1662324789,126.7092609763
2020-05-26,화성시,팔탄보건지소,031-5189-2889,18527,경기도 화성시 팔탄면 구장길 14,경기도 화성시 팔탄면 구장리 563,37.1622205003,126.9049137499
2020-05-26,화성시,양감보건지소,031-5189-2587,18634,경기도 화성시 양감면 은행나무로 265,경기도 화성시 양감면 신왕리 1994,37.0818092615,126.9446959654
2020-05-26,화성시,남양보건지소,031-5189-2885,18258,경기도 화성시 남양읍 남양시장로 25-2,경기도 화성시 남양읍 581,37.2087514327,126.8118329821
2020-05-26,화성시,자안보건진료소,031-356-3562,18293,경기도 화성시 비봉면 푸른들판로 1125번길 45,경기도 화성시 비봉면 자안리 692-1,37.2015573888,126.8733909968
2020-05-26,화성시,신천보건진료소,031-5189-7582,18546,경기도 화성시 송산면 신천길 85,경기도 화성시 송산면 신천리 100-7,37.2487732271,126.7174985945
2020-05-26,화성시,궁평보건진료소,031-5189-2730,18556,경기도 화성시 서신면 궁평항로 1419,경기도 화성시 서신면 백미리 21-4,37.1427552879,126.7018150173
2020-05-26,화성시,기천보건진료소,031-5189-8224,18526,경기도 화성시 팔탄면 아랫사내길 66-8,경기도 화성시 팔탄면 기천리 628,37.1781344530,126.9093513278
2020-05-26,화성시,문학보건진료소,031-5189-2277,18522,경기도 화성시 정남면 문학로 84,경기도 화성시 정남면 문학리 354,37.1510684891,126.9731310955
2020-05-26,화성시,안석보건진료소,031-5189-3014,18278,경기도 화성시 고향의봄길 216번길 101,경기도 화성시 남양읍 안석리 342-1,37.1770722203,126.8189131971
2020-05-26,화성시,제부보건진료소,031-5189-9118,18553,경기도 화성시 서신면 해안길 156-2,경기도 화성시 서신면 제부리 42-8,37.1636634668,126.6221922176
2020-05-26,화성시,봉담읍,031-5189-2711,18316,경기도 화성시 봉담읍 샘마을1길 7,경기도 화성시 봉담읍 상리 27-1,37.2200625108,126.9494663110
2020-05-26,화성시,우정읍,031-5189-2801,18563,경기도 화성시 우정읍 쌍봉로 109-14,경기도 화성시 우정읍 조암리 411-1,37.0898139108,126.8153853410
2020-05-26,화성시,향남읍,031-5189-347-2~4,18592,경기도 화성시 향남읍 발안로 89,경기도 화성시 향남읍 행정리 287-1번지,37.1321343484,126.9200329429
2020-05-26,화성시,남양읍,031-5189-274-1~5,18262,경기도 화성시 남양읍 남양성지로 192-5,경기도 화성시 남양읍 남양리 1340,37.2117588155,126.8237857770
2020-05-26,화성시,매송면,031-5189-2721,18287,경기도 화성시 매송면 매송로 43,경기도 화성시 매송면 어천리 380,37.2523455083,126.9091558811
2020-05-26,화성시,마도면,031-5189-2751,18537,경기도 화성시 마도면 마도북로 389,경기도 화성시 마도면 243-2,37.2054881247,126.7696371409
2020-05-26,화성시,새솔동,031-5189-6900,18242,경기도 화성시 수노을중앙로 178,경기도 화성시 새솔동 98,37.2812001031,126.8187768947
